08-22 12:03:51.674--ProcessEvnet--CurrentState:None, Event:Start
08-22 12:03:54.971--ProcessEvnet--CurrentState:Starting, Event:StartCompleted
08-22 12:03:55.361--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 12:03:55.424--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 12:03:58.007--ProcessEvnet--CurrentState:Idle, Event:POSClientStatusChanged
08-22 12:04:05.397--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 12:04:05.460--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 12:04:15.422--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 12:04:15.485--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 12:04:25.453--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 12:04:25.515--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 12:04:35.483--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 12:04:35.546--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 12:04:45.514--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 12:04:45.576--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 12:04:55.544--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 12:04:55.607--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 12:05:05.575--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 12:05:05.637--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 12:05:15.605--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 12:05:15.668--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 12:05:25.636--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 12:05:26.745--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 12:05:35.666--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 12:05:35.729--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 12:05:45.697--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 12:05:45.759--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 12:05:55.727--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 12:05:55.790--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 12:06:05.758--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 12:06:05.820--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 12:06:15.788--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 12:06:15.851--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 12:06:25.819--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 12:06:25.881--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 12:06:35.850--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 12:06:35.912--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
